file name	confidences of Fully-bloomed	Non-bloomed	Partially-bloomed	result
data/Fully-bloomed\T0001_YM_20100805090237_01_15.jpg	0.452411	-2.26709	0.384685	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805090237_01_17.jpg	0.991115	-2.36682	-0.877634	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805090237_02_31.jpg	0.123731	-1.28095	-0.0627332	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805090237_02_32.jpg	0.312214	-1.68574	-0.451309	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805100237_01_25.jpg	0.648082	-2.11013	-0.573311	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805100238_02_30.jpg	0.268634	-1.24853	-0.318514	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805100238_02_40.jpg	0.00407007	-1.47905	0.00223399	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805120236_01_24.jpg	0.167292	-1.16209	-0.145593	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805120236_01_29.jpg	0.20027	-1.41351	0.0193589	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805120236_01_30.jpg	0.320734	-0.369775	-1.22481	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805120237_02_47.jpg	0.983555	-2.0729	-1.24293	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805120237_02_48.jpg	0.604433	-2.1961	-0.417546	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805130237_02_49.jpg	0.967433	-1.74201	-1.43565	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805150240_01_18.jpg	0.151056	-0.366172	-1.16908	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100805150240_01_20.jpg	0.270165	-0.844331	-0.932234	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807090237_01_21.jpg	0.492785	-0.541787	-1.52298	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807090237_01_45.jpg	0.309618	-2.15138	0.0199595	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807090237_01_49.jpg	1.09759	-2.32885	-1.26019	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807090237_02_10.jpg	0.189782	-1.14531	-0.295546	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807090237_02_15.jpg	-0.243415	-0.751992	-0.118569	Partially-bloomed
data/Fully-bloomed\T0001_YM_20100807100236_01_25.jpg	0.46244	-1.24026	-0.670295	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100236_01_31.jpg	0.45995	-1.12629	-0.949062	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100236_01_39.jpg	0.669139	-1.39593	-1.18122	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100236_01_43.jpg	0.678893	-1.91261	-0.561039	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100236_01_49.jpg	0.599631	-1.63953	-0.814773	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100236_01_50.jpg	0.303749	-1.56166	-0.263738	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100236_01_55.jpg	0.0686229	-1.57797	0.212267	Partially-bloomed
data/Fully-bloomed\T0001_YM_20100807100238_02_31.jpg	1.07465	-1.02559	-2.14798	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100238_02_32.jpg	0.644264	-1.34661	-1.21395	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100238_02_33.jpg	0.332556	-1.25424	-0.694769	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100238_02_39.jpg	1.07353	-1.9306	-1.5199	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100238_02_41.jpg	0.67861	-1.26523	-0.920698	Fully-bloomed
data/Fully-bloomed\T0001_YM_20100807100238_02_9.jpg	0.630207	-1.58373	-1.05371	Fully-bloomed
data/Fully-bloomed\T0002_YM_20100818130220_01_10.jpg	0.215944	-1.69902	0.200488	Fully-bloomed
data/Fully-bloomed\T0002_YM_20100818130220_01_12.jpg	-0.359129	-0.204719	-0.389396	Non-bloomed
data/Fully-bloomed\T0002_YM_20100818130220_01_37.jpg	0.123399	-2.38379	0.730112	Partially-bloomed
data/Fully-bloomed\T0002_YM_20100818130220_01_9.jpg	-0.119717	-1.699	0.811518	Partially-bloomed
data/Fully-bloomed\T0002_YM_20100818140221_01_23.jpg	0.16818	-2.4383	0.857116	Partially-bloomed
data/Fully-bloomed\T0002_YM_20100818140221_01_24.jpg	-0.418724	-0.949614	-0.212655	Partially-bloomed
